Código;CódigoAux;CódigoBarras;Nombre;Descatalogado;FechaA;FechaV;RedondeoUnitario;Multiproveedor;CODPROV;Proveedor;PrecioLista;Desc1;Desc2;Desc3;Desc4;PrecioCompra;PrecioVenta;PrecioVenta2;PrecioVenta3;PrecioVenta4;RecargoMínimo;Moneda;CuentaC;CuentaV;IVA;IVAEsp;Exento;NoGravado;ImpIntAlic;ImpIntMonto;Garantía;Ubicación;Clasificación;Subclasificación;Servicio;MateriaPrima;PermitirCaract;RequerirDetalle;ControlarStock;ControlarStockGrupo;*Imagen;Descrip;CantBulto;Unidad;StockI;StockA;StockM;StockI2;StockA2;StockM2;StockI3;StockA3;StockM3;StockI4;StockA4;StockM4;AlmPredet;Grupo;PrecioVFijoGrupo;RecargoFijoGrupo;FechaÚltimaActPrecioC;FechaÚltimaActPrecioV;FechaÚltimaActPrecioV2;FechaÚltimaActPrecioV3;FechaÚltimaActPrecioV4;CP1;CP2;CP3;CP4
A-728;;844476;ESCALERA ARTICULADA 4 TRAMOS;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;2727,2727;2727,2727;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-729;;763545;ESCALERA ACERO INOX 4 PELDAÑOS 107 002;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;3719,0083;3719,0083;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-73;;77;TAPA PARA BIDON AZUL;FALSO;03/06/2025;;FALSO;FALSO;21;ARO PLASTYC;0;0;0;0;0;0;107,438;107,438;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;03/04/2025 09:01:33 a.?m.;;;;;;;
A-730;;906309;ESLINGA 15 MM 1.2 MTS;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;3;COMPRANDO EN GRUPO;0;0;0;0;0;0;7520,6612;7520,6612;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-731;;711157;ESLINGA 5 MTS 30 TONELADAS;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;54214,876;54214,876;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-732;;586152;ESLINGA 4X4  6 TONELADAS 3 MTS;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;24;DIGILIO DISTRIBUCIONES SA;0;0;0;0;0;0;14462,8099;14462,8099;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-733;;884504;ESPADIN PARA BARRIL;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;85;ML;0;0;0;0;0;0;41322,3141;41322,3141;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-734;;681699;ESPADITA P/DISPENSER FRIO CALOR;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;29;TRIA;0;0;0;0;0;0;2066,1157;2066,1157;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-735;;700714;ESPATULA LA PLANCHETTA;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;51;PLANCHETTA;0;0;0;0;0;0;5950,4132;5950,4132;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-736;;999176;ESPEJO INASTILLABLE 60 CM;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;5;BM SEÑALIZACIONES;0;0;0;0;0;0;1132,2314;1132,2314;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-737;;127306;ESTERILIZADOR UV 8Q 8 GALONES /MINUTO;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;6;DERVICH;0;0;0;0;0;0;18512,3967;18512,3967;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-738;;801460;ESTERILIZADOR UV PARA TANQUE;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;65;ION FACTOR;0;0;0;0;0;0;264462,8099;264462,8099;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-739;;411621;ESTERILIZADOR UV 36 W  EN LINEA;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;66;KRILL;0;0;0;0;0;0;277685,9504;277685,9504;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-74;;78;ETIQUETITA TAPA BIDON X UNIDAD;FALSO;06/03/2025 11:32:39 a.?m.;;FALSO;FALSO;64;WASSER KRAFT;0;0;0;0;0;0;11,6033;11,6033;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;09/04/2025 06:28:19 p.?m.;;;;;;;
A-740;;102090;ESTERILIZADOR S 5 Q UV 5 GALONES P/MINUT;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;6;DERVICH;0;0;0;0;0;0;30165,2893;30165,2893;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-741;;401444;ESTERILIZADOR UV 30 WATT    EN LINEA;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;66;KRILL;0;0;0;0;0;0;277685,9504;277685,9504;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-742;;824776;ESTUFA PARA GARRAFITA- 10 KG ENLOZADA;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;41;CONOMETAL;0;0;0;0;0;0;21157,0248;21157,0248;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-743;;979153;ESTUFA ALUMINIO PARABOLICA GRANDE 3000 C;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;41;CONOMETAL;0;0;0;0;0;0;16363,6364;16363,6364;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-744;;993047;ESTUFA DOBLE 300 CAL C/VALV SEGURIDAD;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;41;CONOMETAL;0;0;0;0;0;0;84297,5207;84297,5207;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-745;;986089;ESTUFA DOBLE 3000 CAL PARA 10 KG;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;41;CONOMETAL;0;0;0;0;0;0;54545,4546;54545,4546;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-746;;442571;ESTUFA PARA GARRAFITA O 10 KG;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;41;CONOMETAL;0;0;0;0;0;0;21157,0248;21157,0248;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-747;;463274;ETIQUETADORA DOBLE LINEA;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;67;MIGUEL SAUCEDO;0;0;0;0;0;0;52066,1157;52066,1157;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-748;;690715;ETIQUETAS ROLLO ELABORACION-VENCIMIENTO;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;67;MIGUEL SAUCEDO;0;0;0;0;0;0;3057,8512;3057,8512;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-749;;116715;ETIQUETITA P/TAPA X 100;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;64;WASSER KRAFT;0;0;0;0;0;0;1404,9587;1404,9587;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-75;;79;PRECINTO TERMOCONTRAIBLE BIDON ECONOMICO X 100;FALSO;06/03/2025 11:32:39 a.?m.;;FALSO;FALSO;64;WASSER KRAFT;0;0;0;0;0;0;1632,2314;1632,2314;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-750;;142398;FAJA LUMBAR DOGO PREMIUN;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;5;BM SEÑALIZACIONES;0;0;0;0;0;0;10330,5785;10330,5785;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
A-751;;787757;FAJA LUMBAR NEOPRENE COMUN;FALSO;06/03/2025 11:32:46 a.?m.;;FALSO;FALSO;5;BM SEÑALIZACIONES;0;0;0;0;0;0;8677,686;8677,686;0;0;0;1;;;21;1;FALSO;FALSO;0;0;0;;Sin Especificar;Sin Especificar;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;;;1;Unidades [u];0;0;0;0;0;0;0;0;0;0;0;0;0;FALSO;FALSO;0;;;;;;;;;
